sa2_name16, sa2_code_2016, median_aud
"Kilsyth","211051277",38966
"Lilydale - Coldstream","211051278",40320
"Monbulk - Silvan","211051279",35773
"Montrose","211051280",41037
"Mooroolbark","211051281",40601
"Mount Dandenong - Olinda","211051282",40884
"Pakenham - North","212011291",41210
"Mount Evelyn","211051283",40132
"Endeavour Hills - South","212021454",38946
"Lynbrook - Lyndhurst","212031306",46036
"Pearcedale - Tooradin","212031308",39552
"Upwey - Tecoma","211051284",41412
"Wandin - Seville","211051285",38187
"Yarra Valley","211051286",36362
"Beaconsfield - Officer","212011287",43827
"Bunyip - Garfield","212011288",37024
"Emerald - Cockatoo","212011289",40606
"Koo Wee Rup","212011290",35931
"Pakenham - South","212011292",41926
"Berwick - North","212021293",42846
"Berwick - South","212021294",45170
"Doveton","212021295",34673
"Hallam","212021297",38647
"Narre Warren North","212021299",42661
"Endeavour Hills - North","212021453",39797
"Narre Warren - North East","212021455",40810
"Narre Warren - South West","212021456",39979
"Cranbourne North","212031302",42468
"Cranbourne South","212031303",42170
"Cranbourne West","212031304",41100
"Hampton Park - Lynbrook","212031305",38749
"Narre Warren South (East)","212031457",43478
"Narre Warren South (West)","212031458",42115
"Clarinda - Oakleigh South","212041309",39159
"Clayton South","212041310",35164
"Dandenong","212041311",33659
"Dandenong North","212041312",36078
"Dingley Village","212041313",41534
"Noble Park - East","212041459",35148
"Keysborough","212041314",38974
"Noble Park North","212041316",38321
"Springvale","212041317",31288
"Springvale South","212041318",34214
"Noble Park - West","212041460",34397
"Ashwood - Chadstone","212051319",40238
"Clayton","212051320",31334
"Glen Waverley - East","212051321",37120
"Glen Waverley - West","212051322",36023
"Mount Waverley - North","212051323",38204
"Mount Waverley - South","212051324",38865
"Mulgrave","212051325",40175
"Oakleigh - Huntingdale","212051326",40547
"Wheelers Hill","212051327",40338
"Ardeer - Albion","213011328",35935
"Cairnlea","213011329",41989
"Keilor Downs","213011332",40056
"Deer Park - Derrimut","213011330",41611
"Delahey","213011331",40022
"Kings Park (Vic.)","213011333",37309
"St Albans - North","213011334",34095
"Altona North","213021343",40503
"St Albans - South","213011335",34468
"Sunshine North","213011337",35016
"Sunshine","213011336",33867
"Sydenham","213011339",40341
"Sunshine West","213011338",36656
"Taylors Lakes","213011340",41488
"Altona","213021341",43640
"Altona Meadows","213021342",41884
"Newport","213021344",51150
"Seabrook","213021345",44568
"Williamstown","213021346",51787
"West Footscray - Tottenham","213031351",41060
"Braybrook","213031347",36267
"Footscray","213031348",35892
"Maribyrnong","213031349",44859
"Seddon - Kingsville","213031350",49316
"Yarraville","213031352",51803
"Bacchus Marsh","213041353",42331
"Hillside","213041355",44002
"Melton","213041356",40702
"Melton South","213041357",40932
"Melton West","213041358",43406
"Rockbank - Mount Cottrell","213041359",37747
"Taylors Hill","213041360",46129
"Burnside","213041461",42667
"Hoppers Crossing - South","213051362",41112
"Burnside Heights","213041462",45939
"Caroline Springs","213041463",47548
"Hoppers Crossing - North","213051361",41858
"Laverton","213051363",37038
"Tarneit","213051365",45539
"Truganina","213051366",46055
"Werribee - South","213051368",41355
"Wyndham Vale","213051369",45369
"Point Cook - East","213051464",55149
"Point Cook - North","213051465",50463
"Werribee - East","213051467",40270
"Werribee - West","213051468",43573
"Carrum Downs","214011370",41446
"Frankston","214011371",38274
"Frankston North","214011372",36113
"Frankston South","214011373",40351
"Langwarrin","214011374",41660
"Seaford (Vic.)","214011375",40291
"Skye - Sandhurst","214011376",45518
"Dromana","214021377",32958
"Flinders","214021378",37192
"Hastings - Somers","214021379",37453
"Mornington","214021380",37809
"Mount Eliza","214021381",43164
"Mount Martha","214021382",39321
"Point Nepean","214021383",31802
"Rosebud - McCrae","214021384",31093
"Somerville","214021385",39512
